id,num_reviews
1000000,37
1000030,2098
1000280,51
1000360,6765
1000410,2404
1000440,407
1000700,250
1000760,1316
1000770,210
1001270,4904
1001800,544
1001860,185
1001970,30
1002000,46
1002430,187
1003090,1031
1003120,204
1003370,32
1003450,27
1003590,7381
1003860,31
1003880,48
1004200,27
1004270,1632
1004330,423
1004370,65
1004620,87
1004750,1838
1004770,762
1005120,346
1005220,41
1005240,220
1005400,239
1005460,382
1005520,111
1005990,81
1006710,130
1007810,779
1007830,114
1007840,389
1008020,1436
1008210,143
1008860,401
1008950,49
1009290,6672
1009360,29
1009560,6684
1009850,4220
1010100,95
1010290,28
1010850,214
1011190,1517
1011290,185
1011420,153
1011610,488
1011670,1671
1012110,1401
1012330,41
1012530,30
1012570,613
1012790,10355
1012850,34
1013140,1032
1013220,241
1013320,5961
1013910,235
1014040,463
1014050,91
1014110,33
1014360,83
1014580,47
1015140,959
1015790,336
1015890,512
1015920,328
1015930,786
1015940,237
1016000,47
1016180,853
1016360,508
1016600,2799
1016700,35
1016730,1032
1016790,1893
1016800,13368
1016860,381
1016940,27
1016950,4196
1017160,124
1018640,27
1018800,3750
1018830,2910
1018860,26
1019310,1053
1019450,495
1019550,1220
1020030,113
1020050,35
1020310,32
1020440,30
1020450,28
1020730,507
1020780,431
1020790,3591
1020800,551
1020910,189
1021100,1033
1021210,674
1021770,2594
1021800,280
1021940,84
1022310,1594
1022710,239
1022980,1451
1023140,73
1023550,131
1023700,127
1023790,29
1024160,167
1024460,103
1024480,545
1024950,30
1025410,576
1025960,1750
1026100,142
1026380,47
1026760,35
1026880,78
1027120,156
1027220,57
1027250,258
1027810,48
1027820,857
1028090,38
1028310,3994
1028350,478
1028470,1584
1028590,357
1028840,30
1029170,56
1029260,66
1029550,11568
1029570,79
1029650,208
1029690,19693
1029760,112
1029780,17642
1029870,83
1030060,92
1030210,11120
1030310,103
1030490,31
1030830,26263
1030840,80583
1031120,1630
1031270,178
1031460,495
1031790,45
1031900,242
1032590,604
1032690,36
1032700,366
1032750,168
1033080,213
1033220,123
1033410,251
1033640,79
1033780,37
1033930,36
1033950,656
1033960,34
1034040,337
1034060,230
1034140,19644
1034150,71
1034170,28
1034540,89
1034590,45
1034750,153
1034850,205
1035120,4085
1035320,35
1035510,3082
1035560,663
1035660,301
1035760,860
1035950,71
1035990,1776
1036240,1798
1036340,92
1036370,105
1036640,259
1036660,87
1036700,387
1036740,769
1036890,4908
1037020,2760
1037080,213
1037120,188
1037130,1147
1037460,35
1037750,120
1037820,33
1037830,42
1037910,403
1037940,123
1037990,127
1038250,6432
1038300,524
1038820,197
1039280,139
1039310,36
1039350,43
1039360,153
1039590,26
1040070,2071
1040200,11371
1040230,3704
1040390,87
1040420,2914
1040460,289
1040630,191
1041210,209
1041520,60
1041690,53
1041720,6700
1041920,1898
1042210,49
1042380,972
1042490,4762
1042530,112
1042600,100
1042670,358
1042920,327
1042930,29
1042960,37
1043150,69
1043260,3322
1043710,31
1043810,6382
1044040,86
1044110,37
1044220,90
1044410,37
1044480,28
1044720,18239
1044760,28
1044790,102
1044870,182
1044980,596
1045010,83
1045430,160
1045580,368
1045610,248
1045720,3045
1046300,687
1046400,1068
1046470,943
1046660,242
1046790,640
1047010,720
1047170,73
1047860,41
1047870,59
1047950,62
1048280,47
1048350,887
1048370,2078
1048530,52
1048580,71
1048660,199
1048740,283
1049100,4289
1049410,23830
1049590,61216
1049710,795
1049850,149
1049890,11254
1050160,36
1050260,37
1050280,417
1050370,268
1050720,52
1050880,34
1051350,53
1051580,33
1051690,3450
1051840,66
1051850,37
1051870,39
1051900,40
1051950,149
1051960,152
1052230,32
1052640,37
1052970,37
1052990,1255
1053390,33
1053710,803
1053760,34
1054050,40
1054290,30
1054300,36
1054340,297
1054350,35
1054430,1141
1054450,50
1054490,9630
1054510,3223
1054690,198
1054700,139
1054950,156
1055170,111
1055210,505
1055240,28
1055490,213
1055610,388
1055850,259
1056040,36
1056230,48
1056590,115
1056610,641
1056640,23530
1056690,222
1056720,329
1056840,775
1057090,26450
1057600,94
1057700,3856
1057750,6138
1057800,357
1058060,413
1058270,258
1058280,196
1058380,1132
1058450,3460
1058530,507
1058650,7389
1058690,212
1058710,319
1058770,2350
1058800,67
1058830,3923
1059120,1106
1059230,141
1059740,26
1059850,95
1059890,77
1059900,643
1059980,1020
1059990,320
1060160,44
1060220,843
1060230,1945
1060600,735
1061010,656
1061180,962
1061610,241
1061880,720
1061910,14713
1061920,112
1062000,967
1062060,724
1062070,209
1062080,37
1062100,89
1062110,1737
1062140,1380
1062160,7530
1062340,356
1062520,16450
1062810,3287
1062830,1789
1062960,1285
1063040,346
1063420,3769
1063540,153
1063660,11863
1063730,82978
1063860,177
1063950,99
1063980,414
1064010,190
1064030,57
1064340,710
1064460,2049
1064540,32
1064600,28
1064840,118
1065070,119
1065180,526
1065310,9049
1065320,120
1065520,438
1065550,31
1065940,253
1066130,1571
1066160,65
1066180,315
1066400,167
1066420,87
1066430,57
1066760,181
1066890,9246
1066900,459
1067220,151
1067320,116
1067430,61
1067440,116
1067540,2680
1067580,33
1067760,29
1068350,32
1068360,451
1068410,31
1068460,107
1068600,118
1069030,856
1069160,2309
1069190,420
1069210,128
1069530,1521
1069640,4384
1069650,1910
1069660,330
1069690,1296
1069760,482
1070150,130
1070690,119
1070790,312
1070840,134
1070850,101
1070860,545
1071130,1011
1071140,598
1071220,132
1071280,49
1071290,381
1071350,26
1071870,7954
1072040,3577
1072190,900
1072300,50
1072500,1520
1072620,120
1072640,402
1072710,1422
1072750,155
1073130,62
1073320,820
1073810,259
1073910,1574
1074030,203
1074070,120
1074170,256
1074180,120
1074190,278
1074280,27
1074500,38
1074620,431
1074630,341
1074680,94
1074820,117
1075080,187
1075170,129
1075190,1743
1075200,652
1075550,86
1075740,2952
1076020,31
1076120,129
1076130,202
1076200,3680
1076500,920
1076610,35
1076620,160
1076720,47
1076750,543
1077210,32
1077470,38
1077510,51
1077630,35
1077850,47
1078200,393
1078280,673
1078320,331
1078330,481
1078350,2439
1078370,81
1078380,118
1078420,1263
1078490,374
1078730,1554
1078760,1392
1078920,1289
1079200,130
1079230,309
1079260,5850
1079320,96
1079510,291
1079830,465
1079940,56
1080010,276
1080020,2066
1080040,45
1080410,83
1080450,99
1080680,31
1080700,37
1081450,127
1081670,246
1082180,1388
1082220,96
1082430,15462
1082450,608
1082680,1072
1082770,31
1082890,105
1082930,292
1082970,258
1083070,84
1083300,118
1083600,557
1083790,463
1083870,420
1083880,2779
1084120,26
1084160,11858
1084350,106
1084360,35
1084440,32
1084600,24871
1084640,2165
1084790,191
1084840,34
1084990,122
1085220,963
1085750,3084
1085790,27
1086410,1029
1086460,31
1086620,125
1086840,77
1086850,649
1086860,206
1086940,51540
1086970,30
1086990,26
1087110,87
1087330,82
1087440,67
1087760,2041
1087790,40
1088150,7589
1088420,61
1088710,8240
1088750,65
1088770,338
1088790,2820
1088850,4860
1089090,19106
1089630,1386
1089780,230
1089830,1246
1089930,116
1089980,30650
1090060,35
1090100,104
1090250,564
1090440,793
1090630,8516
1090670,226
1090700,26
1090760,299
1090800,279
1090900,1043
1090920,62
1091090,40
1091320,226
1091390,48
1091500,26290
1091590,103
1091740,62
1091920,1069
1092040,1233
1092050,45
1092140,527
1092400,915
1092530,260
1092630,1577
1092790,122929
1092950,132
1093170,962
1093320,282
1093790,92
1093840,68
1094420,516
1094520,22432
1094540,203
1094590,47
1094680,59
1094690,57
1094720,144
1094730,198
1094760,102
1094820,839
1094920,211
1094960,57
1095040,324
1095060,185
1095120,299
1095260,396
1095290,85
1095480,76
1095700,29
1096060,161
1096100,92
1096140,139
1096180,390
1096300,471
1096310,26
1096520,959
1096550,784
1096560,133
1096610,82
1096640,65
1096760,35
1096900,1714
1097100,260
1097110,459
1097130,2125
1097150,92230
1097200,7136
1097240,54
1097300,82
1097350,3724
1097370,428
1097430,6948
1097480,150
1097530,562
1097550,53
1097750,95
1097770,95
1097790,111
1097820,60
1097960,119
1098130,60
1098170,30
1098220,33
1098270,454
1098280,802
1098470,54
1098560,47
1098610,152
1098770,368
1099140,45
1099220,436
1099410,3154
1099440,95
1099450,27
1099460,80
1099640,918
1100140,1104
1100150,589
1100160,322
1100260,1748
1100290,43
1100300,33
1100410,2189
1100420,922
1100930,1365
1100990,1852
1101030,119
1101050,35
1101120,2383
1101190,4659
1101310,27
1101360,1300
1101400,284
1101420,95
1101580,530
1101620,28
1101670,76
1101780,32
1101790,2018
1101800,35
1102190,20493
1102650,57
1102680,31
1102930,1750
1103550,48
1103730,392
1103860,483
1103880,529
1104280,4175
1104330,2060
1104340,481
1104380,3590
1104450,8444
1104920,46
1105040,389
1105130,835
1105460,46
1105500,5697
1105510,5640
1105590,261
1105670,10791
1105740,57
1106140,546
1106340,866
1106830,207
1106840,11729
1107050,103
1107300,1288
1107320,1278
1107340,192
1107440,35
1107750,96
1107790,3157
1107820,53
1108170,113
1108370,5195
1108590,3491
1109160,227
1109300,39
1109490,30
1109570,5743
1109820,84
1110050,1747
1110620,51
1110770,42
1110890,200
1110910,8180
1110980,37
1111040,36
1111080,300
1111370,1818
1111380,489
1111390,199
1111460,10056
1111590,39
1111600,58
1111620,184
1111650,38
1111830,54
